time,size,room
0,1,1
0,0,1
0.81764335366209461852804452064447104930877685546875,0,0
520.341640033739167847670614719390869140625,1,1
520.341640033739167847670614719390869140625,0,1
530.1747054703446249135367907001636922359466552734375,0,0
1346.1378434497968328287242911756038665771484375,1,1
1346.1378434497968328287242911756038665771484375,0,1
1453.2607562151906677172519266605377197265625000,0,0
3468.7907128916762076187296770513057708740234375,1,1
3468.7907128916762076187296770513057708740234375,0,1
3613.43669632658298951355391182005405426025390625,0,0
4475.1822975426649691144120879471302032470703125,1,1
4475.1822975426649691144120879471302032470703125,0,1
4479.81422149301459256776070105843245983123779296875,1,2
4500.50175950841968841587004135362803936004638671875,1,1
4500.50175950841968841587004135362803936004638671875,0,1
4715.46260070595325686326759750954806804656982421875,0,0
8175.29563025094665107417313265614211559295654296875,1,1
8175.29563025094665107417313265614211559295654296875,0,1
8464.96059814786968189537219586782157421112060546875,0,0
9703.26816775811305859633648651652038097381591796875,1,1
9703.26816775811305859633648651652038097381591796875,0,1
9853.05294628230168285654144710861146450042724609375,0,0
13498.96611403966738151893878239206969738006591796875,1,1
13498.96611403966738151893878239206969738006591796875,0,1
13499.654379799549398288860402317368425428867340087890625,0,0
16101.97442792153417912004442769102752208709716796875,1,1
16101.97442792153417912004442769102752208709716796875,0,1
16268.12117645504380192278404138050973415374755859375,0,0
17611.83155245067330696429053205065429210662841796875,1,1
17611.83155245067330696429053205065429210662841796875,0,1
17689.59848701191253184106244589202105998992919921875,0,0
19457.66836378802661755571534740738570690155029296875,1,1
19457.66836378802661755571534740738570690155029296875,0,1
19472.55698222951698994620528537780046463012695312500,0,0
19783.36040557591069699583385954611003398895263671875,1,1
19783.36040557591069699583385954611003398895263671875,0,1
19930.72808672105463045909345964901149272918701171875,0,0
20266.57473458880024708150813239626586437225341796875,1,1
20266.57473458880024708150813239626586437225341796875,0,1
20297.48782056359563341629836941137909889221191406250,0,0
20793.19152299905675107538627344183623790740966796875,1,1
20793.19152299905675107538627344183623790740966796875,0,1
20895.26752012852970352696502231992781162261962890625,1,2
20969.77747453486767170716120745055377483367919921875,1,1
20969.77747453486767170716120745055377483367919921875,0,1
21067.40012830473214222593014710582792758941650390625,0,0
21832.22952495572386766298222937621176242828369140625,1,1
21832.22952495572386766298222937621176242828369140625,0,1
21910.34991362204353748666108003817498683929443359375,0,0
22154.73808893293043098537964397110044956207275390625,1,1
22154.73808893293043098537964397110044956207275390625,0,1
22383.92005479829229130928069935180246829986572265625,0,0
22655.28655969695572736100075417198240756988525390625,1,1
22655.28655969695572736100075417198240756988525390625,0,1
22779.15162196314474130076632718555629253387451171875,0,0
22975.91172409700735812521088519133627414703369140625,1,1
22975.91172409700735812521088519133627414703369140625,0,1
23223.98171333531099236324735102243721485137939453125,0,0
24602.77997158674489952545627602376043796539306640625,1,1
24602.77997158674489952545627602376043796539306640625,0,1
24950.26140028488877220524955191649496555328369140625,0,0
26693.31251356272461094931713887490332126617431640625,1,1
26693.31251356272461094931713887490332126617431640625,0,1
26797.07326130690545795687285135500133037567138671875,0,0
28339.90203552912445417177877970971167087554931640625,1,1
28339.90203552912445417177877970971167087554931640625,0,1
28494.80859049022777895743274712003767490386962890625,1,2
28556.67644618901216091444439371116459369659423828125,1,1
28556.67644618901216091444439371116459369659423828125,0,1
28575.489809561909037682880807551555335521697998046875,0,0
28988.39861316072504138219301239587366580963134765625,1,1
28988.39861316072504138219301239587366580963134765625,0,1
29100.69157991319264766616470296867191791534423828125,0,0
30390.54329157735535460460596368648111820220947265625,1,1
30390.54329157735535460460596368648111820220947265625,0,1
30446.45606645441962001541469362564384937286376953125,0,0
31024.59667866906679734029239625670015811920166015625,1,1
31024.59667866906679734029239625670015811920166015625,0,1
31092.86637951606295615647468366660177707672119140625,0,0
31120.16278299219255387697558035142719745635986328125,1,1
31120.16278299219255387697558035142719745635986328125,0,1
