Runde;ID_Proband;ZeitEbene;ZeitTreppeAb;ZeitTreppeAuf;Größe in cm
1;1;20.00;10.38;12.34;178
1;2;18.30;10.40;12.10;174
1;3;12.38;4.50;3.44;174
1;4;18.80;11.80;12.30;179
1;5;16.24;11.37;11.94;178
1;6;16.43;10.44;11.50;173
1;7;19.50;10.50;13.20;190
1;8;16.10;10.50;11.30;173
1;9;18.00;11.87;12.58;195
1;10;17.13;12.34;12.38;180
1;11;18.92;10.79;13.32;194
1;12;17.84;9.78;11.59;153
1;13;16.81;10.18;11.87;183
2;1;20.31;10.12;12.19;178
2;2;18.40;10.60;12.90;174
2;3;13.05;5.06;3.59;174
2;4;19.40;11.90;12.90;179
2;5;17.27;11.11;11.82;178
2;6;17.09;10.32;11.47;173
2;7;19.60;10.70;13.00;190
2;8;16.50;10.50;10.90;173
2;9;19.28;12.43;13.00;195
2;10;16.44;13.10;12.47;180
2;11;19.13;10.97;13.28;194
2;12;18.31;9.63;12.53;153
2;13;16.34;10.50;12.10;183
3;1;20.91;10.09;12.18;178
3;2;20.30;10.90;12.20;174
3;3;12.13;4.19;4.12;174
3;4;19.30;12.00;13.20;179
3;5;16.10;10.55;13.74;178
3;6;16.41;9.97;11.66;173
3;7;19.60;10.50;12.90;190
3;8;16.70;10.60;11.10;173
3;9;18.64;11.87;13.06;195
3;10;16.53;11.94;12.78;180
3;11;17.81;10.23;13.44;194
3;12;17.72;9.60;11.09;153
3;13;16.40;10.72;12.25;183
